DATE,valor,name
2011-01-01,286.48,_03.01.001
2011-01-02,286.32032258064515,_03.01.001
2011-01-03,286.16064516129035,_03.01.001
2011-01-04,286.0009677419355,_03.01.001
2011-01-05,285.8412903225807,_03.01.001
2011-01-06,285.6816129032258,_03.01.001
2011-01-07,285.521935483871,_03.01.001
2011-01-08,285.36225806451614,_03.01.001
2011-01-09,285.2025806451613,_03.01.001
2011-01-10,285.04290322580647,_03.01.001
2011-01-11,284.8832258064516,_03.01.001
2011-01-12,284.7235483870968,_03.01.001
2011-01-13,284.56387096774193,_03.01.001
2011-01-14,284.40419354838707,_03.01.001
2011-01-15,284.24451612903226,_03.01.001
2011-01-16,284.0848387096774,_03.01.001
2011-01-17,283.9251612903226,_03.01.001
2011-01-18,283.7654838709677,_03.01.001
2011-01-19,283.6058064516129,_03.01.001
2011-01-20,283.44612903225806,_03.01.001
2011-01-21,283.2864516129032,_03.01.001
2011-01-22,283.1267741935484,_03.01.001
2011-01-23,282.9670967741935,_03.01.001
2011-01-24,282.8074193548387,_03.01.001
2011-01-25,282.64774193548385,_03.01.001
2011-01-26,282.488064516129,_03.01.001
2011-01-27,282.3283870967742,_03.01.001
2011-01-28,282.1687096774193,_03.01.001
2011-01-29,282.0090322580645,_03.01.001
2011-01-30,281.84935483870964,_03.01.001
2011-01-31,281.68967741935484,_03.01.001
2011-02-01,281.53,_03.01.001
2011-02-02,281.54627118644066,_03.01.001
2011-02-03,281.56254237288135,_03.01.001
2011-02-04,281.578813559322,_03.01.001
2011-02-05,281.5950847457627,_03.01.001
2011-02-06,281.61135593220337,_03.01.001
2011-02-07,281.62762711864406,_03.01.001
2011-02-08,281.64389830508475,_03.01.001
2011-02-09,281.6601694915254,_03.01.001
2011-02-10,281.67644067796607,_03.01.001
2011-02-11,281.69271186440676,_03.01.001
2011-02-12,281.70898305084745,_03.01.001
2011-02-13,281.72525423728814,_03.01.001
2011-02-14,281.7415254237288,_03.01.001
2011-02-15,281.75779661016946,_03.01.001
2011-02-16,281.77406779661015,_03.01.001
2011-02-17,281.79033898305084,_03.01.001
2011-02-18,281.80661016949153,_03.01.001
2011-02-19,281.82288135593217,_03.01.001
2011-02-20,281.83915254237286,_03.01.001
2011-02-21,281.85542372881355,_03.01.001
2011-02-22,281.87169491525424,_03.01.001
2011-02-23,281.88796610169493,_03.01.001
2011-02-24,281.90423728813556,_03.01.001
