date,obs_flow,name
2011-06-17,2.873,1 Peralejos
2011-06-18,2.873,1 Peralejos
2011-06-19,2.733,1 Peralejos
2011-06-20,2.733,1 Peralejos
2011-06-21,2.733,1 Peralejos
2011-06-22,2.733,1 Peralejos
2011-06-23,2.733,1 Peralejos
2011-06-24,2.733,1 Peralejos
2011-06-25,2.733,1 Peralejos
2011-06-26,2.733,1 Peralejos
2011-06-27,2.593,1 Peralejos
2011-06-28,2.593,1 Peralejos
2011-06-29,2.453,1 Peralejos
2011-06-30,2.453,1 Peralejos
2011-07-01,2.453,1 Peralejos
2011-07-02,2.453,1 Peralejos
2011-07-03,2.313,1 Peralejos
2011-07-04,2.313,1 Peralejos
2011-07-05,2.313,1 Peralejos
2011-07-06,2.313,1 Peralejos
2011-07-07,2.313,1 Peralejos
2011-07-08,2.184,1 Peralejos
2011-07-09,2.184,1 Peralejos
2011-07-10,2.184,1 Peralejos
2011-07-11,2.184,1 Peralejos
2011-07-12,2.184,1 Peralejos
2011-07-13,2.184,1 Peralejos
2011-07-14,2.184,1 Peralejos
2011-07-15,2.184,1 Peralejos
2011-07-16,2.184,1 Peralejos
2011-07-17,2.184,1 Peralejos
2011-07-18,2.184,1 Peralejos
2011-07-19,2.184,1 Peralejos
2011-07-20,2.184,1 Peralejos
2011-07-21,2.184,1 Peralejos
2011-07-22,2.184,1 Peralejos
2011-07-23,2.056,1 Peralejos
2011-07-24,2.056,1 Peralejos
2011-07-25,2.056,1 Peralejos
2011-07-26,2.056,1 Peralejos
2011-07-27,2.056,1 Peralejos
2011-07-28,2.056,1 Peralejos
2011-07-29,2.056,1 Peralejos
2011-07-30,2.056,1 Peralejos
2011-07-31,2.056,1 Peralejos
2011-08-01,2.056,1 Peralejos
2011-08-02,1.927,1 Peralejos
2011-08-03,1.927,1 Peralejos
2011-08-04,1.927,1 Peralejos
2011-08-05,1.927,1 Peralejos
2011-08-06,1.799,1 Peralejos
2011-08-07,1.799,1 Peralejos
2011-08-08,1.799,1 Peralejos
2011-08-09,1.799,1 Peralejos
2011-08-10,1.67,1 Peralejos
2011-08-11,1.67,1 Peralejos
2011-08-12,1.67,1 Peralejos
2011-08-13,1.927,1 Peralejos
2011-08-14,1.799,1 Peralejos
2011-08-15,1.67,1 Peralejos
2011-08-16,1.67,1 Peralejos
2011-08-17,1.67,1 Peralejos
2011-08-18,1.67,1 Peralejos
2011-08-19,1.67,1 Peralejos
2011-08-20,1.67,1 Peralejos
2011-08-21,1.67,1 Peralejos
2011-08-22,1.555,1 Peralejos
2011-08-23,1.555,1 Peralejos
2011-08-24,1.555,1 Peralejos
2011-08-25,1.555,1 Peralejos
2011-08-26,1.555,1 Peralejos
2011-08-27,1.555,1 Peralejos
2011-08-28,1.555,1 Peralejos
2011-08-29,1.555,1 Peralejos
2011-08-30,1.555,1 Peralejos
2011-08-31,1.555,1 Peralejos
2011-09-01,1.555,1 Peralejos
2011-09-02,1.555,1 Peralejos
2011-09-03,1.555,1 Peralejos
2011-09-04,1.555,1 Peralejos
2011-09-05,1.555,1 Peralejos
2011-09-06,1.44,1 Peralejos
2011-09-07,1.44,1 Peralejos
2011-09-08,1.44,1 Peralejos
2011-09-09,1.44,1 Peralejos
2011-09-10,1.44,1 Peralejos
2011-09-11,1.325,1 Peralejos
2011-09-12,1.325,1 Peralejos
2011-09-13,1.325,1 Peralejos
2011-09-14,1.325,1 Peralejos
2011-09-15,1.325,1 Peralejos
2011-09-16,1.325,1 Peralejos
2011-09-17,1.325,1 Peralejos
2011-09-18,1.21,1 Peralejos
2011-09-19,1.21,1 Peralejos
2011-09-20,1.21,1 Peralejos
2011-09-21,1.21,1 Peralejos
2011-09-22,1.21,1 Peralejos
2011-09-23,1.21,1 Peralejos
2011-09-24,1.21,1 Peralejos
2011-09-25,1.21,1 Peralejos
2011-09-26,1.21,1 Peralejos
2011-09-27,1.21,1 Peralejos
2011-09-28,1.21,1 Peralejos
2011-09-29,1.21,1 Peralejos
2011-09-30,1.21,1 Peralejos
2011-10-01,1.291,1 Peralejos
2011-10-02,1.291,1 Peralejos
2011-10-03,1.291,1 Peralejos
2011-10-04,1.291,1 Peralejos
2011-10-05,1.291,1 Peralejos
2011-10-06,1.291,1 Peralejos
2011-10-07,1.291,1 Peralejos
2011-10-08,1.291,1 Peralejos
