19510101
3.18,-3.63
2.71,-2.65
2.45,-4.48
5.07,-5.75
6.42,-5.19
7.64,-4.7
8.05,-3.34
7.27,-2.42
6.64,-0.8
6.29,0.04
7.02,-1.49
5.29,-1.08
5.01,-1.93
7.97,-0.28
8.52,0.83
11.12,1.18
11.34,0.14
11.47,0.73
10.76,0.79
13.44,-0.2
14.02,-0.91
14.1,-2.08
7.96,-2.86
4.28,-2.73
2.93,-3.74
2.99,-4.42
1.68,-6.83
1.79,-5.99
1.33,-4.83
2.43,-7.04
2.67,-6.34
4.55,-4.02
5.79,-3.1
4.78,-4.07
5.19,-4.08
4.82,-3.42
2.33,-5.1
4.26,-4.24
6.23,-1.44
5.29,-1.61
4.6,-2.7
4.45,-3.17
4.53,-2.65
4.57,-2.94
4.55,-3.32
6.64,-6.3
7.42,-5.72
8.19,-1.67
8.33,1.47
8.65,1.76
9.84,-0.77
7.67,0.66
7.29,-1.37
7.58,-1.6
7.88,-0.5
5.66,-2.47
5.15,-2.92
5.74,-2.53
6.92,-3.31
5.87,-6.04
9.84,-7.35
9.46,-5.61
5.44,-6.06
3.06,-4.55
5.28,-4.7
5.75,-5.42
4.79,-4.66
4.57,-3.32
6.75,-2.84
7.09,-0.94
8.53,-1.06
8.49,0.86
9.26,-0.68
11.81,1.33
14.28,5.35
15.69,5.21
13.76,4.26
12.71,2.72
14.66,4.21
15.59,2.89
17.46,2.55
20.1,2.08
13.52,2.43
9.32,-2.01
12.7,-2.98
16.35,-0.06
13.88,1.37
12.56,0.7
9.13,-0.84
9.55,-3.12
12.93,-2.9
12.47,-0.67
12.91,-2.43
15.05,-2.13
16.26,1.79
16.3,2.37
15.72,1.93
14.18,-0.84
15.24,-0.7
11.92,-0.21
8.51,-2.1
11.58,-2.21
16.58,-1.21
18.87,0.99
19.7,2.44
19.93,3.01
15.53,5.05
18.07,2.81
17.94,4.61
16.48,3.45
14.01,3.36
14.97,3.73
13.17,3.12
10.45,3.51
10.75,2.82
12.77,3.56
13.37,3.96
11.87,2.52
12.62,-1.48
11.97,0.58
12.67,3.38
12.99,2.64
13.65,2.05
12.8,1.04
13.4,1.86
11.07,2.09
10.17,1.85
10.54,0.48
8.73,-1.57
6.68,-2.26
6.97,-0.32
9.13,1.52
11.34,0.66
13.2,0.15
13.75,0.23
16.26,0.26
17.68,1.68
15.29,2.4
15.68,-0.79
17.07,3.51
19.58,6.75
22.01,7.43
24.81,8.51
24.79,9.84
22.89,9.65
17.81,7.2
16.22,4.26
17.69,5.18
16.15,4.76
15.19,5.61
15.74,4.17
18.53,2.81
20.69,4.89
19.9,7.43
20.18,7.13
19.42,7.27
21.02,6.99
20.8,7.95
18.25,6.12
20.72,4.78
24.1,6.63
26.28,9.4
27.96,11.35
29.26,12.08
30.05,12.71
30.26,13.28
29.55,12.52
28.67,13.17
25.75,12.2
23.8,9.09
24.34,10.09
24.95,12.98
23.06,10.76
20.24,5.63
21.23,5.78
21.9,5.5
22.28,3.63
25,6.78
26.92,8.96
27.76,10.43
24.65,9.45
24.04,9.42
25.98,10.17
27.02,10.78
25.85,12.39
25.55,9.94
26.58,9.57
26.89,10.67
25.58,11.47
27.9,10.06
28.5,11.93
26.63,10.64
27.63,9.78
27.62,11.66
27.53,11.65
25.28,10.33
25.26,7.82
26.79,7.6
27.57,9.61
29.8,11.89
31.47,12.8
32.78,12.78
30.54,12.19
28.11,9.07
26.61,7.84
28.47,7.35
31.63,10.34
33.75,12.57
34.84,13.9
32.03,15.16
27.99,15.12
24.63,11.37
23.64,10.39
23.38,10.37
23.03,8.35
25.92,9.71
27.8,10.07
25.01,12.48
25.23,10.81
24.74,9.18
23.2,9.72
22.32,7.57
24.34,5.95
28.67,9.29
28.3,11.87
28.7,10.84
29.18,12.26
29.18,11.63
29.55,12.33
28.96,12.34
30.81,12.53
25.04,11.38
24.16,6.11
23.11,5.93
25.35,9.33
25.93,10.57
23.16,9.45
24.34,8.74
25.24,8.75
26.1,9.1
26.52,8.87
23.99,10.87
22.87,10.12
23.85,6.76
24.52,8.61
25.51,9.61
27.48,10.65
29.68,11.72
27.59,11.65
26.63,11.21
25.11,11.03
22.37,9.85
22,8.57
21.2,10.16
20.97,10.33
20.26,10.18
20.58,9.02
23.3,7.06
22.87,7.91
23.14,6.97
21.5,7.06
21.74,4.4
23.34,5.44
24.69,7.78
22.8,8.58
18.65,9.51
20.66,7.71
21.79,8.75
19.15,6.71
19.82,3.96
19.95,5.46
21.05,4.51
21.26,4.78
17,5.37
13.98,4.37
15.67,4.49
16.48,6.09
15.83,4.61
15.66,3.14
16.79,1.32
17.12,3.79
18.01,5.01
18.3,3.5
18.39,3.84
18.33,5.74
16.07,5.42
14.05,3.47
13.09,3.41
14.18,2.52
14.37,0.57
13.87,0.71
13.43,0.3
11.29,2.5
11.96,3.11
10.11,1.8
6.87,-1.91
5.66,-2.1
8.92,-1.84
12.02,-2.94
13.58,-0.59
13.58,1.73
13.31,1.25
11.49,3.41
10.96,3.22
11.3,0.22
11.63,0.01
11.52,1.04
10.78,0.26
12.57,3.18
12.28,3.83
12.41,4.31
9.93,3.34
8.75,2.15
8.27,0.66
9.21,0.06
9.52,1.45
7.69,0.26
7.8,-1.29
11.13,-1.91
12.7,-1.19
11.58,1.05
9.5,2
7.28,0.4
7.34,-0.84
10.86,-0.49
10.9,0.27
11.84,0.63
13.23,1.02
15.13,0.23
12.97,-0.32
12.04,-0.73
11.32,0.41
11.67,-2.27
12.17,-3.1
11,-2.94
9.66,-3.3
8.47,-2.97
9.15,-4.65
9.87,-4.24
8.6,-3.05
7.96,-2.65
7.56,-3.52
7.58,-2.2
9.97,-1.32
11.85,-1.23
10,-2.51
8.91,0.13
9.62,1.62
10.14,-1.23
10.1,-2.31
10.38,-1.78
12.56,-1.24
12.18,-1.46
10.02,0.19
8.06,1.29
8.84,2.22
7.9,1.62
8.07,0.41
8.52,0.92
5.8,-0.33
7.6,-1.77
5.95,-1.66
4.81,-1.9
7.66,-2.01
10.75,-1.91
8.79,-2.79
7.86,-5.71
5.4,-4.69
4.81,-5.12
5.21,-5.29
7.44,-3.48
8.47,-5.48
10.96,-5.53
9.51,-5.61
6.98,-6.07
8.54,-3.24
7.29,-1.54
4.81,-4.67
7.32,-7.61
7.99,-3.79
8.51,-0.6
7.21,-0.49
4.22,-2.49
1.87,-3.99
2.86,-4.16
-0.14,-6.24
-0.39,-10.41
0.12,-12.44
1.64,-8.2
1.91,-8.65
1.82,-7.29
-0.24,-9.15
0.18,-17.04
1.03,-14.96
3.49,-9.53
4.81,-5.41
8.22,-1.07
9.09,1.08
8.48,0.69
6.17,-2.33
4.08,-5.02
5.88,-6.24
9.48,-3.93
9.86,-2.8
7.28,-3.19
8.87,-4.85
11.55,-4.3
8.87,-2.52
5.16,-2.16
4.76,-6.59
4.36,-3.93
3.15,-5.56
4.78,-6.58
4.86,-4.26
3.14,-4.41
6.75,-7.39
9.96,-6.58
9.89,-4.13
10.19,-3.15
11.71,-2.58
9.63,-1.58
10.28,-1.46
11.79,-2.64
12.38,-2.35
14.55,-3.36
17.25,-2.51
17.57,-2.18
14.64,0.11
15.21,0
15.51,-0.75
17.89,-1.07
18.25,0.72
18.43,1.33
15.79,1.75
15.1,-2.21
12.78,0.67
11.28,1.67
10.19,-0.84
12.57,-1.79
