group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
gwflow,25.34171438961458378,40.998922808445392718,0,0,0,0,0.65314856667518639277,0.29860148586482260225
chanels,2.8296734815481663361,60.477120848214816817,0,0,0,0,0.16605647678451573857,0.063824281864546750231
hydrology,34.780436190989341583,48.050968804781021504,49,8.1666666666666660745,14,2.3333333333333334814,0.91580223295201379496,0.90234688664950535308
basin,525.87478235210210187,89.76267262342179265,0,0,0,0,17.56547246295918896,0.42224498744541627548
soil,174.29905151402977026,42.029114833739257051,161,9.4705882352941177516,85,5,4.2189815776571482075,0.64693162766410206022
topography,0.87611185963209547989,34.715515954650769004,0,0,99,49.5,0.050615154277886126311,0.034344819775590111621
