 Model                     SWAT+ Mar 13 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    31     1    31  2006      10      22  cha022               0.1276E+03     0.3417E+05     0.1668E+05     0.0000E+00     0.4926E+06     0.7262E-01     0.1323E+01     0.2046E+00     0.4057E+02     0.3177E-02     0.0000E+00     0.2671E-02     0.0000E+00     0.0000E+00     0.4846E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6219E+01     0.2360E+01     0.7007E+00     0.1254E+02     0.1940E+01     0.7558E+03     0.2727E-01     0.0000E+00     0.3176E-01     0.0000E+00     0.0000E+00     0.5726E+01     0.2095E-03     0.2095E-03     0.2095E-03     0.2095E-03     0.2095E-03     0.0000E+00     0.5992E+01     0.2235E+01     0.6268E+00     0.1120E+02     0.1732E+01     0.7139E+03     0.2434E-01     0.0000E+00     0.3528E-01     0.0000E+00     0.0000E+00     0.5824E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5975E+01     0.7730E+01
    31     1    31  2006      11      24  cha024               0.8890E+02     0.2357E+05     0.1179E+05     0.0000E+00     0.5499E+06     0.7973E-01     0.1458E+01     0.2254E+00     0.4332E+02     0.3564E-02     0.0000E+00     0.2681E-02     0.0000E+00     0.0000E+00     0.5169E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6091E+01     0.2334E+01     0.7814E+00     0.1402E+02     0.2168E+01     0.7623E+03     0.3083E-01     0.0000E+00     0.3017E-01     0.0000E+00     0.0000E+00     0.4395E+01     0.1891E-03     0.1891E-03     0.1891E-03     0.1891E-03     0.1891E-03     0.0000E+00     0.5887E+01     0.2360E+01     0.7007E+00     0.1254E+02     0.1940E+01     0.7179E+03     0.2726E-01     0.0000E+00     0.3176E-01     0.0000E+00     0.0000E+00     0.5726E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5871E+01     0.7730E+01
    31     1    31  2006      12      26  cha026               0.1251E+01     0.4045E+03     0.7810E+02     0.0000E+00     0.1057E+05     0.1453E+00     0.1740E+01     0.2692E+00     0.2574E-01     0.3542E-03     0.0000E+00     0.1293E-04     0.0000E+00     0.0000E+00     0.2893E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7872E+01     0.2567E-04     0.2201E+00     0.2613E+01     0.4042E+00     0.3829E+00     0.5298E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1333E-03     0.2363E-02     0.1333E-03     0.1333E-03     0.1333E-03     0.0000E+00     0.9901E+04     0.1353E-02     0.7482E-01     0.8727E+00     0.1350E+00     0.1205E-01     0.1770E-03     0.0000E+00     0.6242E-05     0.0000E+00     0.0000E+00     0.1434E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1953E+03     0.7730E+01
    31     1    31  2006      13      28  cha028               0.9771E+02     0.2512E+05     0.1272E+05     0.0000E+00     0.7650E+06     0.1168E+00     0.2143E+01     0.3314E+00     0.5752E+02     0.3577E-02     0.0000E+00     0.3446E-02     0.0000E+00     0.0000E+00     0.5966E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5904E+01     0.1786E+01     0.8998E+00     0.1619E+02     0.2504E+01     0.6670E+03     0.2076E-01     0.0000E+00     0.2654E-01     0.0000E+00     0.0000E+00     0.4249E+01     0.1668E-03     0.1668E-03     0.1668E-03     0.1668E-03     0.1668E-03     0.0000E+00     0.5745E+01     0.2250E+01     0.7814E+00     0.1402E+02     0.2168E+01     0.6082E+03     0.1735E-01     0.0000E+00     0.2772E-01     0.0000E+00     0.0000E+00     0.4177E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5714E+01     0.7730E+01
    31     1    31  2006      14      29  cha029               0.9923E+02     0.2478E+05     0.1283E+05     0.0000E+00     0.3083E+06     0.5280E-01     0.9733E+00     0.1505E+00     0.2708E+02     0.1945E-02     0.0000E+00     0.1528E-02     0.0000E+00     0.0000E+00     0.2855E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5799E+01     0.1696E+01     0.9543E+00     0.1720E+02     0.2659E+01     0.6394E+03     0.2243E-01     0.0000E+00     0.2341E-01     0.0000E+00     0.0000E+00     0.3620E+01     0.1694E-03     0.1694E-03     0.1694E-03     0.1694E-03     0.1694E-03     0.0000E+00     0.5653E+01     0.1785E+01     0.8998E+00     0.1619E+02     0.2504E+01     0.6111E+03     0.2075E-01     0.0000E+00     0.2654E-01     0.0000E+00     0.0000E+00     0.4249E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5644E+01     0.7730E+01
    31     1    31  2006      15      31  cha031               0.8158E+02     0.2037E+05     0.1055E+05     0.0000E+00     0.4961E+06     0.8295E-01     0.1532E+01     0.2367E+00     0.4491E+02     0.3570E-02     0.0000E+00     0.2264E-02     0.0000E+00     0.0000E+00     0.4231E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5799E+01     0.1512E+01     0.1039E+01     0.1876E+02     0.2901E+01     0.6292E+03     0.2565E-01     0.0000E+00     0.2185E-01     0.0000E+00     0.0000E+00     0.2941E+01     0.1477E-03     0.1477E-03     0.1477E-03     0.1477E-03     0.1477E-03     0.0000E+00     0.5677E+01     0.1696E+01     0.9543E+00     0.1720E+02     0.2659E+01     0.5832E+03     0.2242E-01     0.0000E+00     0.2341E-01     0.0000E+00     0.0000E+00     0.3620E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5653E+01     0.7730E+01
    31     1    31  2006      16      34  cha034               0.1025E+03     0.2472E+05     0.1341E+05     0.0000E+00     0.5266E+06     0.8284E-01     0.1537E+01     0.2373E+00     0.5121E+02     0.5256E-02     0.0000E+00     0.2356E-02     0.0000E+00     0.0000E+00     0.4139E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5784E+01     0.1256E+01     0.1125E+01     0.2035E+02     0.3147E+01     0.6406E+03     0.3049E-01     0.0000E+00     0.1942E-01     0.0000E+00     0.0000E+00     0.3136E+01     0.1802E-03     0.1802E-03     0.1802E-03     0.1802E-03     0.1802E-03     0.0000E+00     0.5697E+01     0.1512E+01     0.1039E+01     0.1876E+02     0.2901E+01     0.5875E+03     0.2564E-01     0.0000E+00     0.2185E-01     0.0000E+00     0.0000E+00     0.2941E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5662E+01     0.7730E+01
    31     1    31  2006      17      35  cha035               0.7259E+02     0.1733E+05     0.7752E+04     0.0000E+00     0.1123E+05     0.4058E-08     0.5717E-07     0.0000E+00     0.5717E-07     0.7234E-05     0.0000E+00     0.7177E-04     0.0000E+00     0.0000E+00     0.5728E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5727E+01     0.3902E+00     0.9306E-01     0.2350E+01     0.3644E+00     0.1522E+03     0.1295E-01     0.0000E+00     0.6517E-02     0.0000E+00     0.0000E+00     0.4992E+00     0.8239E-04     0.8239E-04     0.8239E-04     0.8239E-04     0.8239E-04     0.0000E+00     0.6196E+01     0.3886E+00     0.6859E-01     0.1724E+01     0.2674E+00     0.1366E+03     0.9751E-02     0.0000E+00     0.7449E-02     0.0000E+00     0.0000E+00     0.8347E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6200E+01     0.7730E+01
    31     1    31  2006      18      37  cha037               0.4602E+02     0.1110E+05     0.6021E+04     0.0000E+00     0.1448E+06     0.1997E-01     0.3744E+00     0.5772E-01     0.1578E+02     0.2616E-02     0.0000E+00     0.6378E-03     0.0000E+00     0.0000E+00     0.1447E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5784E+01     0.9148E+00     0.1078E+01     0.1904E+02     0.2943E+01     0.4767E+03     0.2317E-01     0.0000E+00     0.1045E-01     0.0000E+00     0.0000E+00     0.1516E+01     0.1991E-03     0.1991E-03     0.1991E-03     0.1991E-03     0.1991E-03     0.0000E+00     0.5659E+01     0.8674E+00     0.1056E+01     0.1863E+02     0.2879E+01     0.4600E+03     0.2073E-01     0.0000E+00     0.1197E-01     0.0000E+00     0.0000E+00     0.2301E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5659E+01     0.7730E+01
    31     1    31  2006      19      38  cha038               0.9415E+02     0.2187E+05     0.1033E+05     0.0000E+00     0.3456E+05     0.5145E-08     0.6925E-07     0.0000E+00     0.6925E-07     0.5388E-05     0.0000E+00     0.5319E-04     0.0000E+00     0.0000E+00     0.2603E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5705E+01     0.2752E+00     0.1411E+00     0.3586E+01     0.5560E+00     0.1377E+03     0.1940E-01     0.0000E+00     0.5760E-02     0.0000E+00     0.0000E+00     0.5473E+00     0.1210E-03     0.1210E-03     0.1210E-03     0.1210E-03     0.1210E-03     0.0000E+00     0.6368E+01     0.3901E+00     0.9306E-01     0.2350E+01     0.3644E+00     0.1154E+03     0.1295E-01     0.0000E+00     0.6512E-02     0.0000E+00     0.0000E+00     0.4992E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6172E+01     0.7730E+01
