name,value,group,weight
qf2934,1.252,streamflowd,8.11156
qf2935,1.252,streamflowd,8.11156
qf2936,1.252,streamflowd,8.11156
qf2937,1.252,streamflowd,8.11156
qf2938,1.252,streamflowd,8.11156
qf2939,1.319,streamflowd,8.11156
qf2940,1.319,streamflowd,8.11156
qf2941,1.319,streamflowd,8.11156
qf2942,1.319,streamflowd,8.11156
qf2943,1.319,streamflowd,8.11156
qf2944,1.319,streamflowd,8.11156
qf2945,1.252,streamflowd,8.11156
qf2946,1.252,streamflowd,8.11156
qf2947,1.252,streamflowd,8.11156
qf2948,1.252,streamflowd,8.11156
qf2949,1.252,streamflowd,8.11156
qf2950,1.252,streamflowd,8.11156
qf2951,1.319,streamflowd,8.11156
qf2952,1.319,streamflowd,8.11156
qf2953,1.319,streamflowd,8.11156
qf2954,1.319,streamflowd,8.11156
qf2955,1.319,streamflowd,8.11156
qf2956,1.385,streamflowc,6.48569
qf2957,1.319,streamflowd,8.11156
qf2958,1.455,streamflowc,6.48569
qf2959,1.455,streamflowc,6.48569
qf2960,2.061,streamflowb,4.37019
qf2961,2.061,streamflowb,4.37019
qf2962,2.225,streamflowb,4.37019
qf2963,3.008,streamflowa,1.87704
qf2964,2.634,streamflowb,4.37019
qf2965,2.225,streamflowb,4.37019
qf2966,2.225,streamflowb,4.37019
qf2967,2.061,streamflowb,4.37019
qf2968,1.898,streamflowb,4.37019
qf2969,1.816,streamflowb,4.37019
qf2970,1.742,streamflowc,6.48569
qf2971,1.742,streamflowc,6.48569
qf2972,1.742,streamflowc,6.48569
qf2973,1.667,streamflowc,6.48569
qf2974,1.596,streamflowc,6.48569
qf2975,1.596,streamflowc,6.48569
qf2976,1.596,streamflowc,6.48569
qf2977,1.524,streamflowc,6.48569
qf2978,1.524,streamflowc,6.48569
qf2979,1.524,streamflowc,6.48569
qf2980,1.524,streamflowc,6.48569
qf2981,1.524,streamflowc,6.48569
qf2982,1.596,streamflowc,6.48569
qf2983,2.143,streamflowb,4.37019
qf2984,2.061,streamflowb,4.37019
qf2985,1.98,streamflowb,4.37019
