name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa2108,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.234609,0.106742,0.073,0.9072,0.127867,0.341351,0.3838
qa2109,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.235223,0.10655,0.0721,0.9098,0.128673,0.341773,0.3812
qa2110,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.231853,0.104065,0.0711,0.8972,0.127788,0.335918,0.3938
qa2111,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.230955,0.10448,0.0698,0.9038,0.126475,0.335435,0.3872
qa2112,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.228144,0.102671,0.0686,0.8837,0.125473,0.330815,0.4073
qa2113,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.228497,0.102874,0.0767,0.8884,0.125623,0.331371,0.4026
qa2114,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.226445,0.101595,0.0783,0.8716,0.12485,0.32804,0.4194
qa2115,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.226057,0.101639,0.0756,0.8695,0.124418,0.327696,0.4215
qa2116,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.223563,0.100981,0.0735,0.8724,0.122582,0.324544,0.4186
qa2117,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.22313,0.0997463,0.0719,0.8689,0.123384,0.322876,0.4221
qa2118,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.220756,0.0981514,0.0701,0.8522,0.122605,0.318907,0.4388
qa2119,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.221099,0.0994102,0.0692,0.857,0.121689,0.320509,0.434
qa2120,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.219733,0.0991893,0.0668,0.8502,0.120544,0.318922,0.4408
qa2121,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.218186,0.0977747,0.0675,0.844,0.120411,0.315961,0.447
qa2122,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.219972,0.096802,0.0668,0.8313,0.12317,0.316774,0.4597
qa2123,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.283374,0.102569,0.0941,0.8522,0.180805,0.385943,0.4388
qa2124,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.264596,0.101416,0.0718,0.8423,0.16318,0.366012,0.5337
qa2125,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.315538,0.108066,0.074,0.8403,0.207472,0.423604,0.4507
qa2126,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.386802,0.125758,0.1626,0.8699,0.261044,0.51256,0.5061
qa2127,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.356859,0.119246,0.1503,0.8533,0.237613,0.476105,0.4377
qa2128,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.335079,0.112516,0.1455,0.8361,0.222563,0.447595,0.4549
qa2129,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.323578,0.110211,0.1302,0.8385,0.213367,0.433789,0.4525
qa2130,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.309612,0.10788,0.1204,0.8123,0.201732,0.417492,0.4787
qa2131,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.297829,0.105133,0.1104,0.8134,0.192696,0.402962,0.4776
qa2132,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.44202,0.142873,0.1894,0.9079,0.299147,0.584893,0.3831
qa2174,1.461,6.6949e-16,1.461,1.461,1.461,1.461,0.778176,0.238105,0.3447,1.429,0.540071,1.01628,0.032
qa2175,1.461,6.6949e-16,1.461,1.461,1.461,1.461,0.754366,0.229294,0.3366,1.422,0.525072,0.98366,0.039
qa2178,1.461,6.6949e-16,1.461,1.461,1.461,1.461,0.778013,0.226503,0.4055,1.43,0.55151,1.00452,0.031
qa2179,1.461,6.6949e-16,1.461,1.461,1.461,1.461,0.755226,0.217843,0.3862,1.384,0.537383,0.973069,0.077
qa2180,1.461,6.6949e-16,1.461,1.461,1.461,1.461,0.729197,0.210857,0.3679,1.325,0.51834,0.940054,0.136
qa2181,1.461,6.6949e-16,1.461,1.461,1.461,1.461,0.701601,0.200213,0.3594,1.294,0.501388,0.901814,0.167
qa2182,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.675371,0.192726,0.3182,1.254,0.482645,0.868097,0.122
