name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa1833,5.483,8.92653e-16,5.483,5.483,5.483,5.483,3.63917,0.34076,2.414,4.468,3.29841,3.97993,1.015
qa1834,5.483,8.92653e-16,5.483,5.483,5.483,5.483,3.94824,0.413019,2.795,5.162,3.53522,4.36126,0.321
qa1835,6.022,0,6.022,6.022,6.022,6.022,4.18246,0.4892,3.043,5.643,3.69326,4.67166,0.379
qa1836,6.585,8.92653e-16,6.585,6.585,6.585,6.585,4.56855,0.607984,3.497,6.362,3.96057,5.17653,0.223
qa1837,6.382,1.78531e-15,6.382,6.382,6.382,6.382,4.61082,0.647524,3.478,6.371,3.9633,5.25834,0.011
qa1838,6.202,8.92653e-16,6.202,6.202,6.202,6.202,4.5115,0.624215,3.316,6.133,3.88729,5.13571,0.069
qa1839,6.022,0,6.022,6.022,6.022,6.022,4.34585,0.576063,3.182,5.862,3.76979,4.92191,0.16
qa1844,4.584,2.67796e-15,4.584,4.584,4.584,4.584,3.37346,0.365314,2.175,4.348,3.00815,3.73877,0.236
qa1845,4.427,2.67796e-15,4.427,4.427,4.427,4.427,3.20449,0.339334,2.021,4.098,2.86516,3.54382,0.329
qa1846,4.427,2.67796e-15,4.427,4.427,4.427,4.427,3.05193,0.316197,1.9,3.926,2.73573,3.36813,0.501
qa1847,4.27,2.67796e-15,4.27,4.27,4.27,4.27,2.91607,0.29763,1.772,3.726,2.61844,3.2137,0.544
qa1848,4.113,0,4.113,4.113,4.113,4.113,2.78674,0.283491,1.64,3.549,2.50325,3.07023,0.564
qa1849,3.956,1.78531e-15,3.956,3.956,3.956,3.956,2.66957,0.272151,1.526,3.411,2.39742,2.94172,0.545
qa1850,3.799,2.23163e-15,3.799,3.799,3.799,3.799,2.56265,0.261826,1.451,3.255,2.30082,2.82448,0.544
qa1851,3.799,2.23163e-15,3.799,3.799,3.799,3.799,2.46384,0.254576,1.4,3.136,2.20926,2.71842,0.663
qa1852,3.641,8.92653e-16,3.641,3.641,3.641,3.641,2.37258,0.24946,1.301,2.993,2.12312,2.62204,0.648
qa1853,3.484,0,3.484,3.484,3.484,3.484,2.28842,0.245607,1.228,2.915,2.04281,2.53403,0.569
qa1854,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.21362,0.241888,1.174,2.842,1.97173,2.45551,0.485
qa1855,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.13773,0.236337,1.118,2.774,1.90139,2.37407,0.553
qa1856,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.07342,0.237137,1.069,2.719,1.83628,2.31056,0.608
qa1857,3.17,1.33898e-15,3.17,3.17,3.17,3.17,2.00975,0.232872,1.015,2.651,1.77688,2.24262,0.519
qa1858,3.17,1.33898e-15,3.17,3.17,3.17,3.17,1.95365,0.232008,0.9935,2.619,1.72165,2.18566,0.551
qa1859,3.013,4.46326e-16,3.013,3.013,3.013,3.013,1.9228,0.230662,0.9988,2.57,1.69214,2.15346,0.443
qa1872,3.484,0,3.484,3.484,3.484,3.484,2.9243,0.230127,2.119,3.419,2.69417,3.15443,0.065
qa1873,3.956,1.78531e-15,3.956,3.956,3.956,3.956,2.82879,0.231479,1.989,3.296,2.59731,3.06027,0.66
qa1874,4.113,0,4.113,4.113,4.113,4.113,2.71962,0.233389,1.827,3.19,2.48623,2.95301,0.923
qa1875,4.27,2.67796e-15,4.27,4.27,4.27,4.27,3.1322,0.225884,2.565,3.57,2.90632,3.35808,0.7
qa1877,7.395,1.78531e-15,7.395,7.395,7.395,7.395,5.22297,0.464811,4.235,6.909,4.75816,5.68778,0.486
