name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa1833,5.483,8.92653e-16,5.483,5.483,5.483,5.483,3.77127,0.305143,3.045,4.752,3.46613,4.07641,0.731
qa1835,6.022,0,6.022,6.022,6.022,6.022,4.48483,0.478929,3.702,6.003,4.0059,4.96376,0.019
qa1844,4.584,2.67796e-15,4.584,4.584,4.584,4.584,3.41075,0.304762,2.67,4.256,3.10599,3.71551,0.328
qa1845,4.427,2.67796e-15,4.427,4.427,4.427,4.427,3.22487,0.277443,2.473,3.932,2.94743,3.50231,0.495
qa1846,4.427,2.67796e-15,4.427,4.427,4.427,4.427,3.05853,0.254329,2.337,3.683,2.8042,3.31286,0.744
qa1847,4.27,2.67796e-15,4.27,4.27,4.27,4.27,2.90642,0.233824,2.179,3.46,2.6726,3.14024,0.81
qa1848,4.113,0,4.113,4.113,4.113,4.113,2.76598,0.21704,2.101,3.295,2.54894,2.98302,0.818
qa1849,3.956,1.78531e-15,3.956,3.956,3.956,3.956,2.64132,0.204419,1.982,3.163,2.4369,2.84574,0.793
qa1850,3.799,2.23163e-15,3.799,3.799,3.799,3.799,2.52635,0.194867,1.897,3,2.33148,2.72122,0.799
qa1851,3.799,2.23163e-15,3.799,3.799,3.799,3.799,2.42231,0.186633,1.792,2.864,2.23568,2.60894,0.935
qa1852,3.641,8.92653e-16,3.641,3.641,3.641,3.641,2.32466,0.178309,1.741,2.739,2.14635,2.50297,0.902
qa1853,3.484,0,3.484,3.484,3.484,3.484,2.23592,0.173437,1.661,2.656,2.06248,2.40936,0.828
qa1854,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.15377,0.167273,1.612,2.586,1.9865,2.32104,0.741
qa1855,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.07791,0.166787,1.539,2.534,1.91112,2.2447,0.793
qa1856,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.01138,0.161824,1.518,2.45,1.84956,2.1732,0.877
qa1857,3.17,1.33898e-15,3.17,3.17,3.17,3.17,1.94328,0.160598,1.443,2.373,1.78268,2.10388,0.797
qa1858,3.17,1.33898e-15,3.17,3.17,3.17,3.17,1.884,0.159588,1.422,2.323,1.72441,2.04359,0.847
qa1859,3.013,4.46326e-16,3.013,3.013,3.013,3.013,1.85367,0.157427,1.42,2.279,1.69624,2.0111,0.734
qa1861,2.873,8.92653e-16,2.873,2.873,2.873,2.873,3.52289,0.247478,2.912,4.411,3.27541,3.77037,0.039
