 Model                     SWAT+ Mar 13 2024        MODULAR Rev 2024.61.0                                 
        jday        mon        day         yr            unit              gis_id     name              meta_micr        ab_gr_c         leaf_c         stem_c         seed_c         root_c
                                                                                                            kg/ha          kg/ha          kg/ha          kg/ha          kg/ha          kg/ha
         213           8           1        2007 hru     hru0001                10095   13.01154       31.08636       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0002                10095   13.27095       31.12080       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0003                10095   14.16251       31.30895       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0004                10095   14.16249       31.30894       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0005                10095   13.49179       31.17329       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0006                10095   13.61237       31.19689       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0007                10095   13.70129       31.20860       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0008                10095   13.70136       31.20861       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0009                10095   13.59329       31.20550       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0010                10095   13.84225       31.23703       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0011                10095   13.84227       31.23703       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0012                10095   13.59417       31.19599       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0013                10095   13.68069       31.20712       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0014                10095   13.68069       31.20712       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0015                10095   13.68067       31.20644       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0016                10095   13.68042       31.20644       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0017                10095   13.67656       31.20581       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0018                10095   13.68069       31.20644       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0019                10095   13.68066       31.20646       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0020                10095   13.08710       31.09401       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0021                10095   13.07430       31.09296       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0022                10095   13.05845       31.09156       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0023                10095   13.63207       31.19927       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0024                10095   13.62720       31.19881       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0025                10095   13.64127       31.19795       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0026                10095   13.82524       31.23043       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0027                10095   13.83275       31.23134       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0028                10095   13.82398       31.22761       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0029                10095   14.15154       31.30655       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0030                10095   14.15174       31.30654       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0031                10095   14.13930       31.30401       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0032                10095   12.81719       31.06901       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0033                10095   13.31845       31.12870       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0034                10095   13.47916       31.17185       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0035                10095   14.16172       31.30897       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0036                10095   14.16172       31.30897       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0037                10095   13.11761       31.09696       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0038                10095   13.09879       31.09537       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0039                10095   13.05904       31.09161       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0040                10095   14.15159       31.30657       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0041                10095   14.13600       31.30331       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0042                10095   13.63237       31.19931       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0043                10095   13.64134       31.19796       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0044                10095   13.82470       31.23037       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0045                10095   13.82389       31.22760       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0046                10095   13.67986       31.20637       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0047                10095   13.67630       31.20577       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0048                10095   17.59016       31.20557       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0049                10095   17.89487       31.16544       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0050                10095   17.59040       31.20566       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0051                10095   17.88919       31.16548       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0052                10095   12.90743       31.11264       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0053                10095   12.91511       31.11336       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0054                10095   13.23231       31.10946       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0055                10095   13.40442       31.12751       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0056                10095   13.45414       31.13400       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0057                10095   13.25281       31.11230       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0058                10095   13.82250       31.23220       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0059                10095   13.82251       31.23214       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0060                10095   13.65091       31.19836       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0061                10095   13.64919       31.19816       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0062                10095   13.64964       31.19595       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0063                10095   13.65090       31.19836       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0064                10095   13.64913       31.19815       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0065                10095   13.64959       31.19594       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0066                10095   16.80748       31.07216       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0067                10095   16.70339       31.07040       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0068                10095   16.56826       31.06786       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0069                10095   16.80549       31.07211       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0070                10095   16.71148       31.07043       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0071                10095   13.10334       31.09442       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0072                10095   13.08023       31.09252       37.80338       72.66770       203.8321       50.29794       418.6440    
         213           8           1        2007 hru     hru0073                10095   13.11870       31.09569       37.80338       72.66770       203.8321       50.29794       418.6440    
