iteration,total_runs,obs_realization,par_realization,streamflowa,streamflowb,streamflowc,streamflowd,streamflowe,gwhead
0,100,77,77,70900.2,85131.6,178995,287009,274592,4600.54
0,100,78,78,86012.7,20076.9,24810.6,16530.4,30154.1,2964.25
0,100,79,79,49911.9,142264,110704,93010.8,102210,30966.4
0,100,80,80,57407.5,188829,151720,173965,298969,25075.6
0,100,81,81,61585.7,27244.3,24928.9,18054.7,6911.44,6858.49
0,100,82,82,78707.8,43568,55015.4,20684.2,14849.1,266138
0,100,83,83,45018.4,75354.7,90038.3,68748.8,46746.8,52511.3
0,100,84,84,67742.5,55962.9,52346.6,29778,34117.9,17938.5
0,100,85,85,72578.9,201405,148794,225630,301118,619998
0,100,86,86,55454.3,123433,103737,87146.9,125933,13884.6
0,100,87,87,54559.8,150648,110386,99945.8,103650,63893.4
0,100,88,88,45291.9,160674,158541,186452,299434,187390
0,100,89,89,98960.9,34281.8,64251.6,69986.4,59749.1,8992.88
0,100,90,90,90937.5,46024,54553.8,56460,19482.8,6330.11
0,100,91,91,65573.9,71961.1,68752.9,106145,145263,9778.1
0,100,92,92,73690.5,142766,185844,181380,334755,6844.24
0,100,93,93,122974,9829.25,14246.3,24516.1,13006.2,66458.5
0,100,94,94,67395.2,38572.3,38084.7,36683.8,13096.2,101299
0,100,95,95,68820.1,52019.3,56144.1,80662.5,105559,4538.29
0,100,96,96,58206.8,62316.2,54026.3,38401.5,30830.6,5891.66
0,100,97,97,51153.4,49996.4,57356.6,34881.6,48001,4869.01
0,100,98,98,75582.3,109288,102965,104940,162397,296274
0,100,base,base,53196.1,12691.7,14480,9981.07,6334.03,46639.2
1,280,0,0,57343.5,38084.3,45824.8,29799.4,15939.5,22255.7
1,280,1,1,42996,38239.1,37768.8,26488.5,7462.97,9577.78
1,280,2,2,48881.8,44316.8,46794.2,24937.8,18757.9,17529.4
1,280,3,3,66899.6,34105.4,43745.2,30383.2,9628.14,24063.7
1,280,4,4,71651.3,23810.6,25909,16916.1,5655.05,32008.3
1,280,5,5,51869.8,48789.7,46270.6,31978.1,16847.8,11026.6
1,280,6,6,55132.6,36400,39584.2,21491.3,13309.4,29237.1
1,280,7,7,62032.3,36177.8,47242.9,36139.3,16634.7,12215.9
1,280,8,8,77631.7,16902,26524.2,25606.4,6012.48,30458.2
1,280,9,9,60132.7,32543.3,38934.7,23595,9044.37,34867.9
1,280,10,10,53762,45987.1,51211.3,36709.3,14861.4,9457.17
1,280,11,11,66907.3,35516.1,44217.1,30353.9,8932.45,18766.9
1,280,12,12,61663.6,87552.6,104543,76424.6,151101,13094.8
1,280,13,13,51641.7,69489.1,69225.5,38799.8,42435,32358.5
1,280,14,14,55727.4,63850.5,61564.2,32895.2,30844.1,71823.2
1,280,15,15,52580.6,38019.2,46318.3,39222.8,11381.6,7961.67
1,280,16,16,41776.5,49663,49199.1,32079.4,15524.7,27256.8
1,280,17,17,77268.8,24433.4,31006.7,19507.8,11511.4,23227.3
1,280,18,18,51057.4,32195.7,42577.1,40137.7,12766.4,12091.2
1,280,19,19,66098.6,31150.7,39379.3,28024.2,11461.9,8799.09
1,280,20,20,52768.1,47177.6,48682.4,31789,20565,37308.8
1,280,21,21,56109.8,40273.3,45008.6,36515.9,10241,9854.41
1,280,22,22,85561.9,34360.2,44469,36342.3,7700.74,9490.67
1,280,23,23,74366.4,29691,35182.5,15355.6,13508,7965.84
1,280,24,24,54705.7,120374,111337,113540,194206,9413.31
1,280,25,25,68215.5,32299.4,41651.3,27299.4,10203.8,8108.03
1,280,26,26,45981.2,40396.4,44551.5,28817.4,10357,11749.8
1,280,27,27,49871.2,59950.5,57643.3,34747.1,30512.7,30509
1,280,28,28,57922.1,47047.4,51062.6,25798.7,20481.6,17427.1
1,280,29,29,56790,39487.3,47537.2,35326.6,19490.2,10705.8
1,280,30,30,44264.8,50885,47868.8,30876.2,12078.5,9868.25
1,280,31,31,56473.8,31490,38577.9,28759,8597.2,33192.6
1,280,32,32,68779.2,24878.4,33022.9,20967,13477.7,13312.9
1,280,33,33,60933.1,41574,54747.7,41935.9,17028.6,13414.9
1,280,34,34,98347.3,11268.5,11309.6,10604.5,2908.71,7861.16
1,280,35,35,54920.4,23300.6,29151.2,21574.1,6645.2,11571.1
1,280,36,36,47830.4,30117.2,30322.8,18897,9701.78,11386.2
1,280,37,37,50078.4,41186.4,45207.6,32988.6,14212.2,8161.31
1,280,38,38,59594,50521.4,55677.7,35070.1,16191.6,23393.8
1,280,39,39,60772.1,27796.5,32122.7,22763.4,5880.15,22169.9
1,280,40,40,54396.9,36596.9,41565.3,25171.6,10954.8,18493.1
1,280,41,41,58836,36363.7,46681.9,32305.8,18493.1,8368.71
1,280,42,42,72538.9,23199.3,35149.1,34051.7,11980.1,18346.1
1,280,43,43,48906.2,91580.1,87521.4,60942.4,96681.2,14212
1,280,44,44,47502.4,47299.1,50705,28373.5,24523.7,12919.9
1,280,45,45,50352.5,63745.3,62389.9,31427.9,41096.2,20298.2
1,280,46,46,55830.5,50450.1,50703.2,24022.9,20330,8775.91
1,280,47,47,51390,36357,40830.2,31757.3,10282.2,12743.2
1,280,48,48,67684.9,24461.9,32289.5,25999.2,10176.4,16295.7
1,280,49,49,50391.7,112434,102124,84622.7,140036,8891.62
1,280,50,50,56944,55607.6,54831.9,29464,11847.6,29953.4
1,280,51,51,58703.1,31081.8,37920.1,26298.2,10406.1,18179.4
1,280,52,52,54829.3,54814.4,57471.6,38681.4,26001.6,33635.8
1,280,53,53,42663,51704.2,49802.1,32390.6,15303.3,26784
1,280,54,54,54321.1,131057,109767,92695,137390,11507.1
