name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa2395,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.373336,0.202573,0.0335,1.012,0.170763,0.575909,0.108
qa2396,1.035,0,1.035,1.035,1.035,1.035,0.368768,0.199834,0.0302,0.9972,0.168934,0.568602,0.0378
qa2397,1.035,0,1.035,1.035,1.035,1.035,0.364972,0.198385,0.0281,0.9886,0.166587,0.563357,0.0464
qa2398,1.035,0,1.035,1.035,1.035,1.035,0.36486,0.197328,0.0208,0.9834,0.167532,0.562188,0.0516
qa2399,1.035,0,1.035,1.035,1.035,1.035,0.362163,0.194649,0.0276,0.9846,0.167514,0.556812,0.0504
qa2435,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.299032,0.166253,0.0181,0.8772,0.132779,0.465285,0.0728
qa2643,57.244,1.42824e-14,57.244,57.244,57.244,57.244,17.9714,7.38268,3.533,49.67,10.5887,25.3541,7.574
qa2646,57.244,1.42824e-14,57.244,57.244,57.244,57.244,21.3245,7.67813,4.067,45.23,13.6464,29.0026,12.014
qa2956,5.711,0,5.711,5.711,5.711,5.711,3.40865,0.925036,1.202,5.53,2.48361,4.33369,0.181
qa2962,34.511,7.14122e-15,34.511,34.511,34.511,34.511,14.4164,6.3111,2.135,26.4,8.10532,20.7275,8.111
qa2963,45.173,0,45.173,45.173,45.173,45.173,12.2383,4.47295,2.174,21.51,7.76534,16.7112,23.663
qa2964,28.719,1.42824e-14,28.719,28.719,28.719,28.719,10.4168,3.49352,2.239,18.02,6.92327,13.9103,10.699
qa2965,20.8,3.57061e-15,20.8,20.8,20.8,20.8,12.0119,4.28031,2.343,20.23,7.7316,16.2922,0.57
qa3037,4.934,1.78531e-15,4.934,4.934,4.934,4.934,2.48726,0.968146,0.5341,4.748,1.51911,3.4554,0.186
qa3038,5.318,8.92653e-16,5.318,5.318,5.318,5.318,2.41783,0.91211,0.5164,4.454,1.50571,3.32994,0.864
qa3039,4.934,1.78531e-15,4.934,4.934,4.934,4.934,2.30853,0.885227,0.4929,4.441,1.4233,3.19376,0.493
qa3040,4.557,8.92653e-16,4.557,4.557,4.557,4.557,2.19172,0.876715,0.4673,4.364,1.315,3.06843,0.193
qa3041,4.374,8.92653e-16,4.374,4.374,4.374,4.374,2.08068,0.872721,0.4213,4.225,1.20796,2.9534,0.149
qa3042,4.19,1.78531e-15,4.19,4.19,4.19,4.19,1.97731,0.872364,0.4007,4.087,1.10495,2.84968,0.103
qa3043,4.01,1.78531e-15,4.01,4.01,4.01,4.01,1.88142,0.873231,0.3938,3.988,1.00819,2.75465,0.022
qa3063,3.171,8.92653e-16,3.171,3.171,3.171,3.171,1.16864,0.731204,0.1791,3.155,0.43744,1.89985,0.016
qa3095,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.805272,0.56176,0.0609,2.347,0.243512,1.36703,0.008
qa3096,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.816521,0.552408,0.071,2.351,0.264113,1.36893,0.004
qa3098,2.48,1.33898e-15,2.48,2.48,2.48,2.48,0.922528,0.584237,0.0644,2.426,0.338291,1.50676,0.054
qa3099,2.48,1.33898e-15,2.48,2.48,2.48,2.48,0.890538,0.556012,0.0568,2.311,0.334526,1.44655,0.169
qa3100,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.855208,0.53813,0.0556,2.276,0.317078,1.39334,0.079
qa3101,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.824549,0.52909,0.0613,2.27,0.295459,1.35364,0.085
qa3102,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.799183,0.526539,0.0578,2.264,0.272644,1.32572,0.091
qa3103,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.780191,0.525451,0.0496,2.243,0.25474,1.30564,0.112
qa3104,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.763763,0.52295,0.0569,2.237,0.240813,1.28671,0.003
qa3105,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.912576,0.555663,0.0705,2.225,0.356913,1.46824,0.13
qa3116,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.921378,0.552567,0.1407,2.282,0.368811,1.47394,0.073
qa3117,2.355,1.33898e-15,2.355,2.355,2.355,2.355,0.887912,0.538725,0.1453,2.166,0.349187,1.42664,0.189
qa3118,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.858141,0.526478,0.1384,2.14,0.331663,1.38462,0.1
qa3119,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.832767,0.516358,0.1327,2.136,0.316409,1.34913,0.104
qa3120,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.808167,0.504423,0.1284,2.097,0.303744,1.31259,0.143
qa3121,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.787725,0.4993,0.1227,2.099,0.288425,1.28702,0.141
qa3122,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.768169,0.49166,0.1229,2.081,0.276509,1.25983,0.159
qa3123,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.754502,0.486037,0.1185,2.068,0.268465,1.24054,0.172
qa3124,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.739281,0.47886,0.1189,2.038,0.260421,1.21814,0.202
qa3125,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.720416,0.474458,0.1165,2.039,0.245958,1.19487,0.201
