real_name,manna,bedk1,bedt1,bedt2,kaq1,sy1,cn3_swf0.3a,esco0.95a,lat_ttime0a,latq_co0.2a,perco0.05a,perco0.5a,awca1,awca3,awca5,awca6,bda1,bda2,bda3,bda4,bda5,bda6,ksola1,ksola2,ksola3,ksola6,zsola4,zsola5,zsola6,lat_lena1,lat_lenb1,surq_lag
0,0.0185193,1.33155e-05,0.364128,0.0307376,0.62593,0.00477489,0.8,0.291629,0.5,0.083439,1,0.540238,0.208571,0.593796,0.0925134,0.0834461,1.31852,1.38032,0.900181,1.05441,1.05425,1.42333,58.2634,11.4784,8.78062,19.8399,708.329,721,1608.57,90,15,0.690407
1,0.0204901,7.73148e-06,0.421655,0.278475,0.668421,0.00563907,0.650062,0.559366,0.5,0.0407471,1,0.476599,0.353196,0.91074,0.226127,0.0550339,1.29461,1.22653,0.922712,0.963,1.12051,1.42903,22.4988,7.19096,7.10439,42.0361,699.364,799.664,2063.35,89.1004,13.011,0.89211
2,0.0213184,9.43396e-06,0.246244,0.198802,0.639365,0.00575499,0.659966,0.162337,0.5,0.0361507,1,0.51807,0.814425,0.601355,0.132443,0.0568834,1.03325,1.17896,0.894474,0.963,1.15519,1.33995,43.8711,16.9333,11.0165,22.5674,668.609,794.825,1768.35,90,13.8178,0.752549
3,0.0140912,2.2338e-05,0.375134,0.038235,0.563896,0.00507494,0.289784,0.078126,0.525467,0.026132,1,0.538868,0.263431,0.711468,0.196061,0.0558795,1.25508,1.37155,0.893,0.963,1.13952,1.27074,23.7132,10.0433,10.268,43.2587,698.799,922.924,1849.36,79.9651,9.70815,0.518207
4,0.01877,7.32311e-06,0.177357,0.301336,0.671797,0.00548278,0.8,0.827963,0.514694,0.119869,0.990916,0.535123,0.15759,0.3614,0.145982,0.0702508,1.4175,1.07924,0.907733,0.963,1.13023,1.25684,30.7248,9.3919,11.7618,15.3713,711.429,956.886,1670.59,89.2873,13.8055,0.706627
5,0.0202567,8.6135e-06,0.347578,0.0898631,0.638239,0.00376772,0.661151,0.870399,0.832834,0.0184388,1,0.399132,0.798486,0.14747,0.134182,0.133612,1.14787,1.43693,1.0315,0.963,1.40542,1.01,44.7158,9.16584,29.5359,109.892,709.514,793.429,1663.28,90,12.8161,0.641377
6,0.0219277,1.3185e-05,0.429214,0.521314,0.623429,0.00550572,0.726752,0.268376,0.5,0.0104394,1,0.509851,0.380105,0.582564,0.0880537,0.0629216,0.970957,1.1763,0.914569,0.963,1.28352,1.23591,49.043,12.3326,11.4601,29.2432,666.806,992.15,1927.8,90,11.7152,0.685419
7,0.0184327,3.88944e-05,0.821474,0.117859,0.608159,0.00439593,0.766574,0.479586,0.539587,0.0614058,1,0.462924,0.810773,0.819906,0.101191,0.0561778,1.05838,0.820408,0.893,0.963,1.13129,1.57739,45.9849,44.598,6.60859,16.8667,706.773,760.473,1895.62,90,11.6832,0.562363
8,0.0196465,2.6328e-05,0.339496,0.21459,0.600184,0.00449469,0.714407,0.321189,0.719161,0.125622,1,0.535784,0.913004,0.665923,0.198047,0.0547,1.34452,1.57271,0.893,1.18675,1.06162,1.20554,26.1747,11.7911,7.06107,80.9315,714.84,859.767,1928.42,90,14.2713,0.514535
9,0.0155341,2.13492e-05,0.416793,0.354135,0.644825,0.00555628,0.546803,0.171018,0.554446,0.0656253,1,0.522366,0.349526,0.445302,0.225445,0.0558178,0.963128,1.46292,0.98673,0.976407,1.07493,1.58443,20.3049,22.1957,9.36304,13.4332,713.042,912.055,1691.26,90,12.1363,0.660294
