 Model                     SWAT+ Mar 13 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
    31     1    31  2006      13      28  cha028               0.1786E+01     0.0000E+00     0.2250E+01     0.1786E+01     0.8998E+00     0.8998E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1363E+03     0.2905E+01     0.2790E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2026E+01     0.0000E+00     0.2553E+01     0.5729E-01     0.2007E+02     0.7050E-01     0.2905E+01     0.1321E+04
    31     1    31  2006      14      29  cha029               0.1696E+01     0.0000E+00     0.1785E+01     0.1696E+01     0.9543E+00     0.9543E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1345E+03     0.2880E+01     0.3122E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1966E+01     0.0000E+00     0.2070E+01     0.3425E-01     0.2024E+02     0.8144E-01     0.2880E+01     0.4302E+04
    31     1    31  2006      15      31  cha031               0.1512E+01     0.0000E+00     0.1696E+01     0.1512E+01     0.1039E+01     0.1039E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1317E+03     0.2839E+01     0.3180E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1817E+01     0.0000E+00     0.2037E+01     0.6279E-01     0.1937E+02     0.8651E-01     0.2839E+01     0.1312E+04
    31     1    31  2006      16      34  cha034               0.1256E+01     0.0000E+00     0.1512E+01     0.1256E+01     0.1125E+01     0.1125E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1306E+03     0.2824E+01     0.4620E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1529E+01     0.0000E+00     0.1841E+01     0.8450E-01     0.1956E+02     0.9441E-01     0.2824E+01     0.1555E+04
    31     1    31  2006      17      35  cha035               0.3902E+00     0.0000E+00     0.3886E+00     0.3902E+00     0.9306E-01     0.9306E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9581E+02     0.2297E+01     0.7380E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7966E+00     0.0000E+00     0.7931E+00     0.5488E-02     0.4462E+01     0.8940E-02     0.2297E+01     0.1020E+04
    31     1    31  2006      18      37  cha037               0.9148E+00     0.0000E+00     0.8674E+00     0.9148E+00     0.1078E+01     0.1078E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7426E+02     0.1938E+01     0.3428E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2855E+01     0.0000E+00     0.2707E+01     0.3682E-01     0.1544E+02     0.9355E-01     0.1938E+01     0.1282E+04
    31     1    31  2006      19      38  cha038               0.2752E+00     0.0000E+00     0.3901E+00     0.2752E+00     0.1411E+00     0.1411E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9095E+02     0.2219E+01     0.4480E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6126E+00     0.0000E+00     0.8684E+00     0.1349E-01     0.3797E+01     0.1217E-01     0.2219E+01     0.7118E+03
    31     1    31  2006      20      42  cha042               0.2783E+00     0.0000E+00     0.2745E+00     0.2783E+00     0.1853E+00     0.1853E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8032E+02     0.2042E+01     0.5450E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7620E+00     0.0000E+00     0.7517E+00     0.1875E-01     0.2677E+01     0.1856E-01     0.2042E+01     0.6036E+03
    31     1    31  2006      21      43  cha043               0.2302E+00     0.0000E+00     0.2781E+00     0.2302E+00     0.1879E+00     0.1879E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7862E+02     0.2013E+01     0.9980E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6531E+00     0.0000E+00     0.7892E+00     0.3267E-02     0.1917E+01     0.2452E-01     0.2013E+01     0.7808E+03
    31     1    31  2006      22      44  cha044               0.1955E+00     0.0000E+00     0.2302E+00     0.1955E+00     0.1978E+00     0.1978E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7750E+02     0.1994E+01     0.9830E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5683E+00     0.0000E+00     0.6690E+00     0.8784E-02     0.1860E+01     0.2487E-01     0.1994E+01     0.7516E+03
    31     1    31  2006      23      46  cha046               0.3672E+00     0.0000E+00     0.3074E+00     0.3672E+00     0.9231E-06     0.9231E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1059E+03     0.2455E+01     0.1453E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.6347E+00     0.0000E+00     0.5314E+00     0.6096E-07     0.2132E+02     0.3390E-04     0.2455E+01     0.1102E+04
    31     1    31  2006      24      47  cha047               0.1932E+00     0.0000E+00     0.1955E+00     0.1932E+00     0.2652E+00     0.2652E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7606E+02     0.1969E+01     0.9820E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5795E+00     0.0000E+00     0.5863E+00     0.4481E-01     0.1616E+01     0.2622E-01     0.1969E+01     0.7219E+03
    31     1    31  2006      25      48  cha048               0.4676E+00     0.0000E+00     0.3671E+00     0.4676E+00     0.1115E-05     0.1115E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1048E+03     0.2438E+01     0.2250E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.8220E+00     0.0000E+00     0.6452E+00     0.8147E-07     0.2291E+02     0.4184E-04     0.2438E+01     0.4243E+03
    31     1    31  2006      26      49  cha049               0.8242E+00     0.0000E+00     0.9147E+00     0.8242E+00     0.1201E+01     0.1201E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7280E+02     0.1913E+01     0.4610E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2659E+01     0.0000E+00     0.2950E+01     0.2351E+00     0.1498E+02     0.9567E-01     0.1913E+01     0.4509E+03
    31     1    31  2006      27      50  cha050               0.1400E+00     0.0000E+00     0.1932E+00     0.1400E+00     0.2756E+00     0.2756E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7101E+02     0.1881E+01     0.4810E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4708E+00     0.0000E+00     0.6494E+00     0.3330E-01     0.1556E+01     0.3550E-01     0.1881E+01     0.4370E+03
    31     1    31  2006      28      51  cha051               0.4541E+00     0.0000E+00     0.2986E+00     0.4541E+00     0.8820E-06     0.8820E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6771E+02     0.1822E+01     0.1076E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1653E+01     0.0000E+00     0.1087E+01     0.9985E-07     0.1545E+02     0.5652E-04     0.1822E+01     0.3682E+03
